Deaths,Confirmed,Year,Month,Country_Name,Death_Rate,yyyy_mm
0,1,2020,1,Finland,0.0,2020/01
0,1,2020,2,Finland,0.0,2020/02
13,1311,2020,3,Finland,0.0099,2020/03
193,3593,2020,4,Finland,0.0537,2020/04
54,832,2020,5,Finland,0.0649,2020/05
0,6,2020,1,France,0.0,2020/01
2,94,2020,2,France,0.0213,2020/02
3015,43877,2020,3,France,0.0687,2020/03
21037,83089,2020,4,France,0.2532,2020/04
2134,9512,2020,5,France,0.2243,2020/05
0,43,2020,3,French Guiana,0.0,2020/03
1,82,2020,4,French Guiana,0.0122,2020/04
0,16,2020,5,French Guiana,0.0,2020/05
0,36,2020,3,French Polynesia,0.0,2020/03
0,22,2020,4,French Polynesia,0.0,2020/04
0,2,2020,5,French Polynesia,0.0,2020/05
1,7,2020,3,Gabon,0.1429,2020/03
2,269,2020,4,Gabon,0.0074,2020/04
5,344,2020,5,Gabon,0.0145,2020/05
1,3,2020,3,Gambia,0.3333,2020/03
0,8,2020,4,Gambia,0.0,2020/04
0,9,2020,5,Gambia,0.0,2020/05
0,3,2020,2,Georgia,0.0,2020/02
0,100,2020,3,Georgia,0.0,2020/03
6,436,2020,4,Georgia,0.0138,2020/04
4,87,2020,5,Georgia,0.046,2020/05
0,7,2020,1,Germany,0.0,2020/01
0,50,2020,2,Germany,0.0,2020/02
583,61856,2020,3,Germany,0.0094,2020/03
5705,97206,2020,4,Germany,0.0587,2020/04
1081,9432,2020,5,Germany,0.1146,2020/05
4,152,2020,3,Ghana,0.0263,2020/03
12,1519,2020,4,Ghana,0.0079,2020/04
2,2341,2020,5,Ghana,0.0009,2020/05
0,69,2020,3,Gibraltar,0.0,2020/03
0,72,2020,4,Gibraltar,0.0,2020/04
0,3,2020,5,Gibraltar,0.0,2020/05
0,3,2020,2,Greece,0.0,2020/02
43,1209,2020,3,Greece,0.0356,2020/03
96,1364,2020,4,Greece,0.0704,2020/04
11,115,2020,5,Greece,0.0957,2020/05
0,10,2020,3,Greenland,0.0,2020/03
0,1,2020,4,Greenland,0.0,2020/04
0,0,2020,5,Greenland,,2020/05
0,9,2020,3,Grenada,0.0,2020/03
0,10,2020,4,Grenada,0.0,2020/04
0,2,2020,5,Grenada,0.0,2020/05
4,106,2020,3,Guadeloupe,0.0377,2020/03
7,45,2020,4,Guadeloupe,0.1556,2020/04
2,3,2020,5,Guadeloupe,0.6667,2020/05
1,58,2020,3,Guam,0.0172,2020/03
4,83,2020,4,Guam,0.0482,2020/04
0,6,2020,5,Guam,0.0,2020/05
1,36,2020,3,Guatemala,0.0278,2020/03
15,521,2020,4,Guatemala,0.0288,2020/04
